"id","label","title"
1,"Sidebottom et al (2020)","Missing children: risks, repeats and responses<br><br>missing persons, missing children, return home interviews, exploitation, CSE, CCE, addiction, safeguarding"
2,"Harris & Shalev Greene (2016)","Police attitudes in England to return interviews, in repeat missing person cases<br><br>missing persons, missing children, return home interviews"
